レベル,日付と時刻,ソース,イベント ID,タスクのカテゴリ
情報,2019/11/07 15:34:21,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""NT AUTHORITY\SYSTEM"" の ""\Microsoft\Windows\Windows Error Reporting\QueueReporting"" タスクの ""{D9749BBF-5A6D-4567-A5E7-940F3C216A36}"" インスタンスを開始しました。"
情報,2019/11/07 15:34:21,Microsoft-Windows-TaskScheduler,129,タスクのプロセスが作成されました,"タスク スケジューラは、プロセス ID 5064 でタスク ""\Microsoft\Windows\Windows Error Reporting\QueueReporting""、インスタンス ""%windir%\system32\wermgr.exe"" を起動しました。"
情報,2019/11/07 15:29:30,Microsoft-Windows-TaskScheduler,140,タスクの登録が更新されました,"ユーザー ""NT AUTHORITY\SYSTEM"" はタスク スケジューラのタスク ""\Microsoft\Windows\WindowsUpdate\Scheduled Start"" を更新しました"
情報,2019/11/07 15:29:05,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{1D8FD998-3D65-4268-9AF2-969D332BC107}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:29:05,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{1D8FD998-3D65-4268-9AF2-969D332BC107}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 15:29:05,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{1D8FD998-3D65-4268-9AF2-969D332BC107}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:29:05,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{1D8FD998-3D65-4268-9AF2-969D332BC107}"" インスタンスを開始しました。"
情報,2019/11/07 15:29:05,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{6D184089-F0EC-4392-B02A-EE4233589B25}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:29:05,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{6D184089-F0EC-4392-B02A-EE4233589B25}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
警告,2019/11/07 15:29:05,Microsoft-Windows-TaskScheduler,324,起動要求がキューに入れられました。インスタンスは既に実行中です,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{38070C26-4C58-4B06-BA15-0F76B00A8B36}"" をキューに置き、インスタンス ""{6D184089-F0EC-4392-B02A-EE4233589B25}"" が完了すると直ちに起動します。"
情報,2019/11/07 15:29:05,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{6D184089-F0EC-4392-B02A-EE4233589B25}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:29:05,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{6D184089-F0EC-4392-B02A-EE4233589B25}"" インスタンスを開始しました。"
情報,2019/11/07 15:29:05,Microsoft-Windows-TaskScheduler,129,タスクのプロセスが作成されました,"タスク スケジューラは、プロセス ID 3700 でタスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""taskhostw.exe"" を起動しました。"
情報,2019/11/07 15:28:51,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{D50FEDEA-C576-440E-B40E-CA389274DEDE}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:28:51,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{D50FEDEA-C576-440E-B40E-CA389274DEDE}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 15:28:50,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{D50FEDEA-C576-440E-B40E-CA389274DEDE}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:28:50,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{D50FEDEA-C576-440E-B40E-CA389274DEDE}"" インスタンスを開始しました。"
情報,2019/11/07 15:28:50,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{A6976DB4-66DA-40C9-ADCC-A2C696F0923B}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:28:50,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{A6976DB4-66DA-40C9-ADCC-A2C696F0923B}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
警告,2019/11/07 15:28:50,Microsoft-Windows-TaskScheduler,324,起動要求がキューに入れられました。インスタンスは既に実行中です,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{04A63399-4DB4-49B0-82EA-29DA20E8F1A3}"" をキューに置き、インスタンス ""{A6976DB4-66DA-40C9-ADCC-A2C696F0923B}"" が完了すると直ちに起動します。"
情報,2019/11/07 15:28:50,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{A6976DB4-66DA-40C9-ADCC-A2C696F0923B}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:28:50,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{A6976DB4-66DA-40C9-ADCC-A2C696F0923B}"" インスタンスを開始しました。"
情報,2019/11/07 15:28:50,Microsoft-Windows-TaskScheduler,129,タスクのプロセスが作成されました,"タスク スケジューラは、プロセス ID 2176 でタスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""taskhostw.exe"" を起動しました。"
情報,2019/11/07 15:27:05,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{B1FFB5EC-CD10-4B72-B731-1AEA1B71C6AC}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:27:05,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{B1FFB5EC-CD10-4B72-B731-1AEA1B71C6AC}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 15:27:05,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{B1FFB5EC-CD10-4B72-B731-1AEA1B71C6AC}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:27:05,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{B1FFB5EC-CD10-4B72-B731-1AEA1B71C6AC}"" インスタンスを開始しました。"
情報,2019/11/07 15:27:05,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{F8F443DF-F752-40D0-A323-197ACF0024F0}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:27:05,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{F8F443DF-F752-40D0-A323-197ACF0024F0}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
警告,2019/11/07 15:27:05,Microsoft-Windows-TaskScheduler,324,起動要求がキューに入れられました。インスタンスは既に実行中です,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{57C3F3CE-10C4-4F71-9037-14C3B3F94D0C}"" をキューに置き、インスタンス ""{F8F443DF-F752-40D0-A323-197ACF0024F0}"" が完了すると直ちに起動します。"
情報,2019/11/07 15:27:05,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{F8F443DF-F752-40D0-A323-197ACF0024F0}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:27:05,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{F8F443DF-F752-40D0-A323-197ACF0024F0}"" インスタンスを開始しました。"
情報,2019/11/07 15:27:05,Microsoft-Windows-TaskScheduler,129,タスクのプロセスが作成されました,"タスク スケジューラは、プロセス ID 876 でタスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""taskhostw.exe"" を起動しました。"
情報,2019/11/07 15:26:50,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{1272AAD2-2CF1-43F5-A30C-D768FA151379}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:26:50,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{1272AAD2-2CF1-43F5-A30C-D768FA151379}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 15:26:50,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{1272AAD2-2CF1-43F5-A30C-D768FA151379}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:26:50,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{1272AAD2-2CF1-43F5-A30C-D768FA151379}"" インスタンスを開始しました。"
情報,2019/11/07 15:26:50,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{0ABDD555-24A2-4675-AD7B-8651D2A6B5D8}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:26:50,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{0ABDD555-24A2-4675-AD7B-8651D2A6B5D8}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
警告,2019/11/07 15:26:50,Microsoft-Windows-TaskScheduler,324,起動要求がキューに入れられました。インスタンスは既に実行中です,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{513CC974-2537-442C-B737-851EAFEA4BCE}"" をキューに置き、インスタンス ""{0ABDD555-24A2-4675-AD7B-8651D2A6B5D8}"" が完了すると直ちに起動します。"
情報,2019/11/07 15:26:50,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{0ABDD555-24A2-4675-AD7B-8651D2A6B5D8}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:26:50,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{0ABDD555-24A2-4675-AD7B-8651D2A6B5D8}"" インスタンスを開始しました。"
情報,2019/11/07 15:26:50,Microsoft-Windows-TaskScheduler,129,タスクのプロセスが作成されました,"タスク スケジューラは、プロセス ID 2024 でタスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""taskhostw.exe"" を起動しました。"
情報,2019/11/07 15:24:50,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{F2801CB0-EDF7-48AE-B1EB-91EE0F561968}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:24:50,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{F2801CB0-EDF7-48AE-B1EB-91EE0F561968}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 15:24:50,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{F2801CB0-EDF7-48AE-B1EB-91EE0F561968}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:24:50,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{F2801CB0-EDF7-48AE-B1EB-91EE0F561968}"" インスタンスを開始しました。"
情報,2019/11/07 15:24:50,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{91DB5876-F2D6-406C-921A-8A331802CC69}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:24:50,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{91DB5876-F2D6-406C-921A-8A331802CC69}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
警告,2019/11/07 15:24:50,Microsoft-Windows-TaskScheduler,324,起動要求がキューに入れられました。インスタンスは既に実行中です,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{5AE0AB7C-1259-446A-B12F-AB1F87995747}"" をキューに置き、インスタンス ""{91DB5876-F2D6-406C-921A-8A331802CC69}"" が完了すると直ちに起動します。"
情報,2019/11/07 15:24:50,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{91DB5876-F2D6-406C-921A-8A331802CC69}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:24:50,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{91DB5876-F2D6-406C-921A-8A331802CC69}"" インスタンスを開始しました。"
情報,2019/11/07 15:24:50,Microsoft-Windows-TaskScheduler,129,タスクのプロセスが作成されました,"タスク スケジューラは、プロセス ID 5492 でタスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""taskhostw.exe"" を起動しました。"
情報,2019/11/07 15:24:35,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{CE5B1CBC-FEA7-4ACC-AAEB-67AE667C9569}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:24:35,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{CE5B1CBC-FEA7-4ACC-AAEB-67AE667C9569}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 15:24:35,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{CE5B1CBC-FEA7-4ACC-AAEB-67AE667C9569}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:24:35,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{CE5B1CBC-FEA7-4ACC-AAEB-67AE667C9569}"" インスタンスを開始しました。"
情報,2019/11/07 15:24:35,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{B76EBA18-CF5F-493A-98FC-5334F5169482}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:24:35,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""{B76EBA18-CF5F-493A-98FC-5334F5169482}""、操作 ""Network State Change Task Handler"" を正常に完了しました。リターン コード: 0"
警告,2019/11/07 15:24:35,Microsoft-Windows-TaskScheduler,324,起動要求がキューに入れられました。インスタンスは既に実行中です,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{BAEDA188-2BF2-4782-B7E3-32FC8A5F256D}"" をキューに置き、インスタンス ""{B76EBA18-CF5F-493A-98FC-5334F5169482}"" が完了すると直ちに起動します。"
情報,2019/11/07 15:24:35,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" のインスタンス ""{B76EBA18-CF5F-493A-98FC-5334F5169482}"" で操作 ""Network State Change Task Handler"" を開始しました。"
情報,2019/11/07 15:24:35,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""EXAMPLE\maebashi.gunma"" の ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask"" タスクの ""{B76EBA18-CF5F-493A-98FC-5334F5169482}"" インスタンスを開始しました。"
情報,2019/11/07 15:24:35,Microsoft-Windows-TaskScheduler,129,タスクのプロセスが作成されました,"タスク スケジューラは、プロセス ID 4492 でタスク ""\Microsoft\Windows\SettingSync\NetworkStateChangeTask""、インスタンス ""taskhostw.exe"" を起動しました。"
